,home_team,game_id,date,away_team,home_first_downs,home_total_yds,home_pass_yds,home_rush_yds,home_TO,away_first_downs,away_total_yds,away_pass_yds,away_rush_yds,away_TO
6095,JAX,931995JAX,September 3,OTI,10.0,146.0,45.0,101.0,2.0,14.0,240.0,80.0,160.0,1.0
6107,CIN,9101995CIN,September 10,JAX,17.0,346.0,228.0,118.0,2.0,14.0,259.0,140.0,119.0,2.0
6129,NYJ,9171995NYJ,September 17,JAX,23.0,375.0,296.0,79.0,1.0,20.0,251.0,105.0,146.0,3.0
6139,JAX,9241995JAX,September 24,GNB,13.0,201.0,125.0,76.0,0.0,16.0,322.0,193.0,129.0,1.0
6151,OTI,1011995OTI,October 1,JAX,19.0,297.0,206.0,91.0,3.0,16.0,219.0,151.0,68.0,3.0
6164,JAX,1081995JAX,October 8,PIT,17.0,267.0,171.0,96.0,0.0,16.0,350.0,282.0,68.0,1.0
6179,JAX,10151995JAX,October 15,CHI,26.0,409.0,288.0,121.0,1.0,23.0,380.0,245.0,135.0,0.0
6189,CLE,10221995CLE,October 22,JAX,20.0,387.0,298.0,89.0,4.0,23.0,315.0,156.0,159.0,2.0
6208,PIT,10291995PIT,October 29,JAX,20.0,316.0,178.0,138.0,1.0,14.0,229.0,145.0,84.0,1.0
6232,JAX,11121995JAX,November 12,SEA,20.0,266.0,105.0,161.0,2.0,26.0,481.0,235.0,246.0,1.0
6252,TAM,11191995TAM,November 19,JAX,17.0,246.0,101.0,145.0,0.0,19.0,350.0,263.0,87.0,1.0
6263,JAX,11261995JAX,November 26,CIN,18.0,291.0,213.0,78.0,2.0,20.0,323.0,210.0,113.0,3.0
6273,DEN,1231995DEN,December 3,JAX,20.0,397.0,286.0,111.0,3.0,13.0,260.0,191.0,69.0,2.0
6292,JAX,12101995JAX,December 10,CLT,27.0,424.0,298.0,126.0,2.0,15.0,219.0,128.0,91.0,0.0
6307,DET,12171995DET,December 17,JAX,28.0,386.0,230.0,156.0,0.0,15.0,235.0,126.0,109.0,5.0
6323,JAX,12241995JAX,December 24,CLE,18.0,373.0,268.0,105.0,0.0,26.0,450.0,316.0,134.0,3.0
6346,JAX,911996JAX,September 1,PIT,22.0,313.0,194.0,119.0,2.0,13.0,187.0,86.0,101.0,2.0
6361,JAX,981996JAX,September 8,OTI,26.0,370.0,298.0,72.0,3.0,21.0,401.0,220.0,181.0,1.0
6380,RAI,9151996RAI,September 15,JAX,18.0,331.0,197.0,134.0,3.0,14.0,270.0,201.0,69.0,2.0
6390,NWE,9221996NWE,September 22,JAX,26.0,353.0,230.0,123.0,2.0,12.0,442.0,413.0,29.0,2.0
6401,JAX,9291996JAX,September 29,CAR,22.0,378.0,199.0,179.0,2.0,21.0,272.0,215.0,57.0,2.0
6418,NOR,1061996NOR,October 6,JAX,11.0,197.0,161.0,36.0,1.0,22.0,382.0,241.0,141.0,2.0
6427,JAX,10131996JAX,October 13,NYJ,10.0,289.0,217.0,72.0,0.0,23.0,367.0,276.0,91.0,2.0
6445,RAM,10201996RAM,October 20,JAX,8.0,204.0,121.0,83.0,1.0,36.0,538.0,420.0,118.0,6.0
6451,CIN,10271996CIN,October 27,JAX,18.0,267.0,207.0,60.0,0.0,19.0,338.0,189.0,149.0,2.0
6479,JAX,11101996JAX,November 10,RAV,22.0,418.0,332.0,86.0,2.0,24.0,387.0,235.0,152.0,3.0
6501,PIT,11171996PIT,November 17,JAX,15.0,198.0,90.0,108.0,1.0,20.0,239.0,161.0,78.0,4.0
6507,RAV,11241996RAV,November 24,JAX,29.0,460.0,356.0,104.0,2.0,23.0,374.0,292.0,82.0,2.0
6528,JAX,1211996JAX,December 1,CIN,19.0,422.0,356.0,66.0,0.0,27.0,485.0,313.0,172.0,2.0
6542,OTI,1281996OTI,December 8,JAX,21.0,361.0,287.0,74.0,4.0,19.0,279.0,165.0,114.0,1.0
6560,JAX,12151996JAX,December 15,SEA,18.0,351.0,218.0,133.0,0.0,19.0,306.0,147.0,159.0,1.0
6573,JAX,12221996JAX,December 22,ATL,21.0,357.0,214.0,143.0,0.0,21.0,309.0,163.0,146.0,0.0
6581,BUF,12281996BUF,December 28,JAX,19.0,308.0,216.0,92.0,3.0,18.0,409.0,225.0,184.0,2.0
6585,DEN,141997DEN,January 4,JAX,21.0,351.0,225.0,126.0,0.0,22.0,443.0,240.0,203.0,0.0
6590,NWE,1121997NWE,January 12,JAX,13.0,234.0,161.0,73.0,2.0,18.0,289.0,188.0,101.0,4.0
6592,RAV,8311997RAV,August 31,JAX,22.0,373.0,301.0,72.0,3.0,19.0,411.0,303.0,108.0,1.0
6613,JAX,971997JAX,September 7,NYG,22.0,375.0,252.0,123.0,1.0,13.0,206.0,167.0,39.0,3.0
6647,JAX,9221997JAX,September 22,PIT,23.0,343.0,303.0,40.0,0.0,19.0,306.0,153.0,153.0,2.0
6659,WAS,9281997WAS,September 28,JAX,20.0,336.0,223.0,113.0,3.0,11.0,204.0,134.0,70.0,2.0
6667,JAX,1051997JAX,October 5,CIN,21.0,308.0,148.0,160.0,0.0,17.0,348.0,200.0,148.0,0.0
6676,JAX,10121997JAX,October 12,PHI,21.0,306.0,157.0,149.0,1.0,23.0,393.0,303.0,90.0,2.0
6690,DAL,10191997DAL,October 19,JAX,24.0,337.0,238.0,99.0,0.0,15.0,271.0,229.0,42.0,1.0
6705,PIT,10261997PIT,October 26,JAX,26.0,439.0,298.0,141.0,3.0,16.0,267.0,194.0,73.0,1.0
6725,OTI,1121997OTI,November 2,JAX,15.0,302.0,195.0,107.0,2.0,17.0,290.0,155.0,135.0,2.0
6733,JAX,1191997JAX,November 9,KAN,16.0,332.0,182.0,150.0,2.0,22.0,413.0,265.0,148.0,5.0
6747,JAX,11161997JAX,November 16,OTI,21.0,352.0,249.0,103.0,2.0,17.0,320.0,184.0,136.0,2.0
6760,CIN,11231997CIN,November 23,JAX,24.0,327.0,203.0,124.0,0.0,20.0,415.0,280.0,135.0,3.0
6777,JAX,11301997JAX,November 30,RAV,23.0,404.0,313.0,91.0,1.0,17.0,221.0,163.0,58.0,0.0
6791,JAX,1271997JAX,December 7,NWE,23.0,341.0,234.0,107.0,2.0,16.0,282.0,227.0,55.0,0.0
6806,BUF,12141997BUF,December 14,JAX,24.0,335.0,192.0,143.0,3.0,20.0,388.0,297.0,91.0,1.0
6826,RAI,12211997RAI,December 21,JAX,19.0,300.0,192.0,108.0,1.0,20.0,417.0,274.0,143.0,0.0
6832,DEN,12271997DEN,December 27,JAX,28.0,511.0,201.0,310.0,2.0,14.0,237.0,187.0,50.0,2.0
6845,CHI,961998CHI,September 6,JAX,16.0,321.0,189.0,132.0,2.0,21.0,367.0,207.0,160.0,3.0
6862,JAX,9131998JAX,September 13,KAN,19.0,256.0,111.0,145.0,0.0,23.0,364.0,253.0,111.0,2.0
6876,JAX,9201998JAX,September 20,RAV,21.0,519.0,365.0,154.0,1.0,11.0,313.0,232.0,81.0,1.0
6896,OTI,9271998OTI,September 27,JAX,15.0,219.0,179.0,40.0,3.0,19.0,297.0,149.0,148.0,3.0
